id,vcm,gamma_T,ocean_file
0,0.40935946824624625,0.00012808840939341966,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc
1,0.4291619075621139,0.00013581331583590158,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc
2,0.5791188616788837,9.79352158069618e-05,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc
3,0.35453505268668284,0.00014341441910878768,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc
4,0.5076492645790494,0.0001408711293421728,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc
5,0.5625107408924133,8.037345633417849e-05,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc
6,0.5767722031816334,0.0001173854633661907,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc
7,0.38432612252499765,0.0001473418588193473,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc
8,0.49355404806948716,0.00014101906548185097,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc
9,0.4690425834528609,0.00012192746372055937,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc
10,0.5245996423749792,0.00013362973106622182,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc
11,0.3639162844272137,9.716612118172672e-05,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc
12,0.3904005622390396,0.00012479188299040667,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc
13,0.5670162620218359,9.054704038072592e-05,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc
14,0.46011511952019035,9.16174105093513e-05,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc
15,0.6068296108747067,0.00013331941764213652,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc
16,0.5478004263050381,0.0001316396082202123,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc
17,0.4116070011528879,0.00011310482787857081,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc
18,0.41601249671186746,0.00011040878600512942,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc
19,0.5537122662616287,0.00010608452164933099,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc
20,0.6161824391415858,9.345659369893694e-05,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc
21,0.4706547918410744,9.931431720584515e-05,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc
22,0.4469192447923238,7.925933201465876e-05,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc
23,0.5997369703132104,8.931171374942111e-05,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc
24,0.5209631128355632,7.572144173602233e-05,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc
25,0.588684163252043,0.00013847783869446188,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc
26,0.5133923835121755,9.489778616112415e-05,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc
27,0.5942486367225264,0.00012077868532640794,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc
28,0.42619547824312315,8.164918601782218e-05,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc
29,0.4831728819034491,0.00012376878511358838,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc
30,0.44173922478037064,0.00011530934052362876,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc
31,0.37244711906790645,0.00010762859647022176,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc
32,0.4371347268872366,8.33707219898386e-05,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc
33,0.4031114978748188,0.00014653687024091281,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc
34,0.49533818768821725,7.756688645253827e-05,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc
35,0.39718564774020926,8.56310179109713e-05,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc
36,0.6105747194206617,0.00013739607234094776,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc
37,0.64810230438117,0.00010213782335687231,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc
38,0.6283072517792374,0.00012999747227118952,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc
39,0.637863453207129,0.000145257744281187,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc
40,0.5317321438736068,0.00014920930004123874,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc
41,0.5591515608506619,0.00010892881998732332,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc
42,0.6432388215781791,0.0001272821129971861,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc
43,0.6258395631812719,0.00011966137236099599,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc
44,0.5046936998245203,0.00011217657414467945,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc
45,0.45740030070900267,0.00011683726565508493,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc
46,0.36188239887595613,0.0001042945370839676,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc
47,0.4804421347204587,8.771290737115943e-05,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc
48,0.3765146643205965,8.457292569907126e-05,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc
49,0.539674774329262,0.00010142820746605946,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc
