id,calving.thickness_calving.threshold,surface.pdd.factor_ice,surface.pdd.factor_snow,surface.pdd.std_dev.value
0,82.95083783270358,4.959599081556059,2.3936406084387825,5.341072122917839
1,281.83451436405994,11.54837297498988,3.9252910112971278,3.2534017848396677
2,117.27278825884969,3.0684943620510676,1.0376235637922164,4.642040093868921
3,255.48519504331784,8.823327965295434,3.438378379092182,2.7265385195394365
4,200.876376843221,5.989741971808676,1.777589416858421,5.699189333976324
5,248.94150046504555,12.855048007828426,5.5765032098464555,2.2488734450155543
6,145.56661016856998,4.817450251644311,4.36325772656706,3.03575741047144
7,61.6797032317497,1.26237194048488,3.7189046974009283,4.323309585540916
8,157.3798353341224,6.432528909041871,2.487393293153675,3.6205583701461777
9,71.53858957651377,8.07749879622741,4.083400261307151,5.149169854035881
10,104.64510055834958,7.89535695205608,5.323812687970215,3.9248297942577146
11,126.2993715352791,9.980730263524679,5.866323450913807,2.121222467836392
12,235.14313151043368,10.56258107778324,1.2938380095703919,4.84972042006574
13,189.42574218614195,3.768146572380299,5.081552345861483,5.466890329233183
14,274.05663644408924,2.9668015181524847,1.564539160782878,5.982635356305627
15,219.50236839207153,2.370902208280328,3.1286885528329544,4.589361086189121
16,93.8921539370377,0.7931324590148339,0.6429062196042739,2.914369209901348
17,182.75181115044043,11.805215837334424,2.7547400834989255,3.4673507727918063
18,167.6679447654092,9.388951606565428,4.874655960508635,4.085612521045653
19,289.5782419255649,6.9146472743902745,2.0570150142266224,2.593637119007971
