id,calving.vonmises_calving.sigma_max,delta_T,frac_P,surface.pdd.factor_ice,surface.pdd.factor_snow,surface.pdd.std_dev.value,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max
0,548615.3113181349,-0.08956339938554592,0.9975206551809154,11.192285945083555,2.776787459314007,5.380898305757924,2.7123246,3.2247367,0.6539778,0.019263938,8.800048,42.890167,-296.0039,274.1101
1,581447.4082688193,-0.7760112278310081,1.0186068390631977,9.20121986822656,1.5606636767602138,4.995801560392051,2.7844625,3.3077219,0.73493105,0.020461095,9.136932,42.82568,-270.10114,228.20322
2,589599.913977484,-0.44121991129969573,0.9964633928113827,7.011530577140029,4.291949221372412,4.611585350191127,2.7330287,3.336399,0.79854006,0.018443568,5.785413,41.733746,-440.19083,194.98546
3,341054.2452766059,0.7894488660631129,0.9910572071125637,5.710873770951662,2.5208767630958913,1.1831181310189065,2.1254706,3.303247,0.63150686,0.013485377,6.8697195,42.02056,-443.82086,132.30551
4,326955.75169727684,0.3887103396795679,1.005214014980948,6.787279041341885,4.914671581251828,2.8834033042326492,2.2495697,3.3239837,0.71376145,0.020764435,8.9197645,41.08902,-329.2603,486.0504
5,492834.21806763846,-0.14243430255178313,0.9807477148839531,6.148779709753014,0.9957354656413501,5.756928437327461,2.231204,3.3917198,0.7937673,0.018342186,14.241932,40.122345,-254.72165,338.02875
6,497988.88428113714,-0.3914834482593569,1.0029251042699934,4.058171481475199,5.315129535023472,5.726664766153977,2.8712957,3.2953603,0.8708565,0.02249467,5.305319,42.669987,-333.01498,151.11087
7,395269.22456438065,0.40651525328368887,0.9758162834676043,10.184678788532803,2.1207272017878553,2.546924790146495,2.422897,3.3662722,0.7440364,0.015050934,8.1345825,42.84739,-365.07254,147.92772
8,450055.78469149006,0.5832946912445567,0.9846119528775578,8.208819355118253,5.589028172332046,1.9785887784182261,2.1708088,3.2964723,0.7984419,0.013755717,5.9059844,43.52149,-435.01804,277.41467
9,373761.93544943543,0.11397491825518391,0.988348404141878,7.843562311941457,0.7555205500189188,4.051468811176237,2.4653838,3.3398645,0.8466777,0.021281874,6.775041,44.530857,-395.52405,289.5725
10,475806.2634607388,0.05177048693340813,1.0015669050068585,9.911656696457982,3.4908484548918506,3.6659726321633466,2.2127247,3.3363535,0.8750032,0.020765787,5.9029584,40.60749,-402.5468,292.88113
11,526403.0581119627,-0.9540512642993786,0.978457863744043,5.036967146188599,4.390425412825307,1.5017035458156323,2.6113613,3.3776724,0.7876207,0.016440269,10.832565,43.63002,-308.73627,294.745
12,417820.4075930051,-0.8832991184692384,1.0109439836545937,11.495382322159436,2.4146384613710272,1.4554952161374526,2.4975674,3.3262985,0.7670063,0.016049195,11.829012,44.435917,-298.3637,247.97903
13,568259.1506076606,0.6660408737132117,1.0136948031884996,7.420129846807088,4.645228205651844,3.4098879680446372,2.3679602,3.3498862,0.7814628,0.014970014,9.263991,43.917965,-338.564,98.9958
14,432633.47497263725,-0.5064956210040898,0.9868516778663015,8.685379948937033,3.9893754083707975,3.131192290173656,2.1324773,3.3061368,0.8111099,0.015443412,6.4538007,42.991814,-324.5378,22.15399
15,512192.7279977945,0.9474041772458615,1.015892131009347,8.842416550075193,3.6234745846903103,3.797088006602953,2.4908025,3.3857749,0.8747412,0.016899535,6.244889,42.268665,-370.12418,137.96774
16,443662.50771937426,-0.6061597166812331,1.022995900903685,4.673720950653458,1.8132760145664988,2.1276010286016005,2.86885,3.2849035,0.8323678,0.01848761,6.221376,42.908726,-389.69885,245.31703
17,378314.4402542545,0.8552080322374498,1.0076403403292409,11.825455567824815,3.206139252766056,5.064193336111331,3.0884335,3.29546,0.71617436,0.024019504,5.798695,43.194435,-325.3229,349.60593
18,307539.4286154995,0.2471914665720849,0.9938389097016453,5.220555366584959,5.872552177397811,2.381330012903388,3.2043815,3.3052511,0.7028292,0.021537166,7.914925,43.8922,-217.91864,319.8698
19,347904.052662303,-0.2700669592375752,1.021700727011579,10.640290335713281,1.0810466822003182,4.369584845662516,2.8754556,3.3170166,0.6203359,0.017791178,6.0492506,44.119553,-443.68842,289.04895
