id,vcm,gamma_T,ocean_file,climate,hydrology,frontal_melt,climate_file,runoff_file,pseudo_plastic_q,sia_e,ssa_n,fractures,sliding_law,z_min,z_max,phi_min,phi_max,till_effective_fraction_overburden,calving.thickness_calving.threshold
0,0.4442323780913757,9.428916459600346e-05,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,given_smb,routing,routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,100
1,0.48832118107421163,7.992022748883259e-05,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,given_smb,routing,routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,100
2,0.4363208573342129,0.00011956468331425545,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,given_smb,routing,routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,100
3,0.5064415585658495,0.00013011597632552933,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,given_smb,routing,routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,100
4,0.38905658469230303,0.00014099817419545652,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,given_smb,routing,routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,100
5,0.5183937792980569,7.620965089620082e-05,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,given_smb,routing,routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,100
6,0.4244113248125367,9.999463538512892e-05,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,given_smb,routing,routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,100
7,0.4194447204745718,0.00011139151216536389,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,given_smb,routing,routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,100
8,0.461594363514366,0.00014449282079547954,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,given_smb,routing,routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,100
9,0.39746276305487116,0.00010524951406191387,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,given_smb,routing,routing,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1980_2020_EPSG3413_4500M_MM.nc,0.6,1.25,3.0,false,pseudo_plastic,-700,700,5,40,0.02,100
