id,vcm,gamma_T,ocean_file,sia_e,ssa_n,pseudo_plastic_q,till_effective_fraction_overburden,phi_min,phi_max,z_min,z_max,climate,hydrology,frontal_melt,ocean,climate_file,runoff_file,fractures,surface.pdd.refreeze,sliding_law,calving.thickness_calving.threshold,prescribed_retreat_file
0,0.41439986485121916,9.513075106985605e-05,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,3.0758235,3.3756816,0.6917538,0.020495564,7.953082,40.30196,-306.93134,97.96911,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
1,0.38763811434724965,0.0001214015367092786,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,2.591383,3.303754,0.66204077,0.016342154,9.911123,41.219757,-454.06006,276.08804,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
2,0.37651246848158043,9.941961729163738e-05,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,2.58927,3.2135813,0.6994298,0.025159009,7.494838,42.409485,-334.93655,462.23187,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
3,0.5720749976252482,0.00010343890207648685,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,2.8740315,3.2893937,0.5837539,0.019229334,7.747366,41.81825,-472.02454,223.2781,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
4,0.632902949004684,0.00014271516237482254,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,3.087295,3.3249288,0.6515298,0.022296382,6.8284984,43.56654,-365.9174,239.5814,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
5,0.43508921852182714,0.00013756637180536893,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,2.2999656,3.3162367,0.69269955,0.0165459,5.2221127,43.795277,-569.62317,346.89462,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
6,0.5795897080836612,7.919424678607087e-05,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,2.9966848,3.2798653,0.7110514,0.021136135,5.7948995,44.593616,-348.98636,211.25745,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
7,0.5065310780014284,0.00013318732052294832,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,2.9171216,3.3450735,0.8723818,0.01876627,6.3041315,44.389015,-390.49744,211.31445,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
8,0.5295425071104316,7.539829163578922e-05,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,3.1533055,3.2768843,0.6995319,0.021333328,6.312173,44.287907,-332.55826,348.13058,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
9,0.6498888531374067,0.00010502558537096816,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,2.4397228,3.3405354,0.79202366,0.017248359,7.5776606,42.12739,-321.52664,179.31331,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
10,0.49682208947030115,9.291134380677324e-05,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,2.628464,3.2959232,0.8090836,0.021274323,5.823488,44.071728,-366.01218,431.02783,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
11,0.5563986663816637,0.00014834665369282908,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,2.1849282,3.3446698,0.79119575,0.018638434,7.3542495,43.18969,-305.34396,340.31186,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
12,0.4000109986460673,0.00011701145706213313,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,2.5485702,3.2843797,0.6246813,0.023615224,5.148555,40.615883,-456.62634,371.72058,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
13,0.5968790754228096,0.00012691141692272145,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,2.7866747,3.268892,0.73691607,0.026460608,6.8219523,40.872387,-296.7794,351.86664,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
14,0.6253296008981934,0.0001258140427279643,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,2.9176996,3.2892191,0.7915977,0.024822803,6.702872,43.493023,-517.7884,727.45746,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
15,0.6131322224783378,9.611948743763765e-05,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,2.3271158,3.3070853,0.8143575,0.01511518,6.6910806,43.35259,-423.18924,182.10825,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
16,0.5370790128684582,0.00011401983354142998,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,2.8370652,3.3743925,0.6962998,0.027307892,6.2444763,40.334324,-314.8456,411.6807,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
17,0.54497791910573,0.0001450931250774873,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,2.4272835,3.2526212,0.69436854,0.017927019,8.081204,43.183853,-469.05182,203.35904,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
18,0.4693764465499729,0.0001408956605489057,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,2.6322157,3.354552,0.7722958,0.017780537,6.745265,41.292812,-331.11826,130.0372,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
19,0.4919933188011478,0.00011026417319950213,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,2.057778,3.3407097,0.6970162,0.015303107,10.162962,43.81863,-404.05237,281.08463,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
20,0.3574595854513006,8.153720198749445e-05,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,3.0306118,3.2890725,0.6632097,0.021247907,6.9922905,42.019104,-366.973,283.99158,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
21,0.3732516616023649,8.729476748604506e-05,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,2.0615234,3.3193917,0.6063439,0.019211419,7.5277996,42.678467,-472.5833,355.5308,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
22,0.446752742008959,0.00013122988549353886,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,2.4474301,3.2632957,0.7572598,0.013791756,6.2575183,44.21605,-486.91696,191.7799,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
23,0.4237671360061637,8.522663180317998e-05,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,2.2848547,3.3178096,0.6136724,0.019484615,5.6421885,40.386658,-477.56335,248.48741,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
24,0.4784632828499582,0.00011385263554755299,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,2.2785807,3.296202,0.849128,0.012029051,8.936833,42.82605,-428.9048,159.93298,given_smb,routing,routing,th,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,DMI-HIRHAM5_ERA_1975_2020_EPSG3413_4500M_MM.nc,false,0.6,pseudo_plastic,50,
