id,calving.vonmises_calving.sigma_max,calving.rate_scaling.file,ocean.th.gamma_T,ocean_file,climate_file,frontal_melt.routing.parameter_a,frontal_melt.routing.parameter_b,frontal_melt.routing.power_alpha,frontal_melt.routing.power_beta,prescribed_retreat_file,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max
0,479308.8423088193,seasonal_calving_id_5_1900_2025.nc,0.00013548095750156788,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.0003407853597030044,1.4884430943988263,0.6321793430484832,1.6643602719530464,pism_g450m_frontretreat_calfin_1972_2019.nc,1.9018396,3.299505,0.73261654,0.012281087,5.4509544,43.309277,-590.17255,195.7463
1,508487.8398105502,seasonal_calving_id_5_1900_2025.nc,0.00013548095750156788,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.0003407853597030044,1.4884430943988263,0.6321793430484832,1.6643602719530464,pism_g450m_frontretreat_calfin_1972_2019.nc,2.4162629,3.2763512,0.5622043,0.017094066,5.634074,42.94963,-456.80573,111.69031
2,479308.8423088193,seasonal_calving_id_4_1900_2025.nc,0.00013548095750156788,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.0003407853597030044,1.4884430943988263,0.6321793430484832,1.6643602719530464,pism_g450m_frontretreat_calfin_1972_2019.nc,3.136221,3.336245,0.560466,0.019223697,11.704212,44.455784,-438.7894,329.5564
3,479308.8423088193,seasonal_calving_id_5_1900_2025.nc,0.00010357951226178555,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.0003407853597030044,1.4884430943988263,0.6321793430484832,1.6643602719530464,pism_g450m_frontretreat_calfin_1972_2019.nc,2.492242,3.2808692,0.7447561,0.021477517,7.238022,40.911674,-436.27835,472.82956
4,479308.8423088193,seasonal_calving_id_5_1900_2025.nc,0.00013548095750156788,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.0003407853597030044,1.4884430943988263,0.6321793430484832,1.6643602719530464,pism_g450m_frontretreat_calfin_1972_2019.nc,2.8576138,3.331976,0.8270116,0.017739672,5.4648046,43.43049,-342.17123,40.88833
5,479308.8423088193,seasonal_calving_id_5_1900_2025.nc,0.00013548095750156788,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.0003407853597030044,1.4884430943988263,0.6321793430484832,1.6643602719530464,pism_g450m_frontretreat_calfin_1972_2019.nc,3.1257145,3.312038,0.73096603,0.021314884,6.289281,42.7658,-335.78537,437.16827
6,479308.8423088193,seasonal_calving_id_5_1900_2025.nc,0.00013548095750156788,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.00028355408761650323,1.4884430943988263,0.6321793430484832,1.6643602719530464,pism_g450m_frontretreat_calfin_1972_2019.nc,2.6631436,3.2792242,0.69424653,0.018090263,12.861543,43.27901,-469.09058,490.85446
7,479308.8423088193,seasonal_calving_id_5_1900_2025.nc,0.00013548095750156788,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.0003407853597030044,1.053501815162599,0.6321793430484832,1.6643602719530464,pism_g450m_frontretreat_calfin_1972_2019.nc,2.407705,3.3725226,0.869536,0.016326878,8.36098,43.487255,-317.7022,149.67383
8,479308.8423088193,seasonal_calving_id_5_1900_2025.nc,0.00013548095750156788,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.0003407853597030044,1.4884430943988263,0.4470717678312212,1.6643602719530464,pism_g450m_frontretreat_calfin_1972_2019.nc,2.5116012,3.3369913,0.8343502,0.017593607,6.135306,43.03478,-429.31165,103.63592
9,479308.8423088193,seasonal_calving_id_5_1900_2025.nc,0.00013548095750156788,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.0003407853597030044,1.4884430943988263,0.6321793430484832,1.6372979394160212,pism_g450m_frontretreat_calfin_1972_2019.nc,2.151846,3.3592985,0.84433156,0.016457813,6.2995763,44.148453,-580.3474,456.59827
