id,calving.vonmises_calving.sigma_max,delta_T,frac_P,surface.pdd.factor_ice,surface.pdd.factor_snow,surface.pdd.std_dev.value,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max,climate,hydrology,ocean,climate_file,salinity,fractures,frontal_melt,ocean.th.gamma_T,ocean.models,ocean_file,prescribed_retreat_file,surface.pdd.refreeze,sliding_law
0,484687.427246943,1.9343111000956164,1.1917613758118388,9.256041564369966,3.5204627293870154,5.697036078091482,2.6735415,3.3047457,0.75224185,0.023195615,8.755566,42.749084,-271.5508,388.87918,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
1,607033.5910331622,1.1245218069935037,1.2229803356182352,1.2792102260062308,2.377642258544864,3.7295486332106034,2.7042313,3.292622,0.56554407,0.019865792,10.047721,41.76105,-346.61438,135.02176,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
2,401000.9656534372,-3.4632291826427775,1.2163913731622291,2.653890894943936,0.8577760001602985,2.8716969553388902,2.6867876,3.2911084,0.74160933,0.019333936,6.492199,42.09103,-309.49008,289.11264,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
3,648713.4838402122,-1.333601328141445,1.1343651044029057,2.870494410122739,3.928723963079456,2.7520918797472183,3.092431,3.3391137,0.8724145,0.027239408,5.2889156,44.87001,-313.1164,391.23645,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
4,680740.3997098173,-2.0578333608742785,1.0154326931644229,4.914147580890446,3.8364251141335135,3.9206892873231585,3.5297809,3.334418,0.76964283,0.02917052,5.271171,41.70663,-261.41864,247.0494,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
5,526951.9577907727,3.2389025422198294,1.0286535247498303,6.436501254040177,4.75430816333655,1.6900613986458404,2.621785,3.2494996,0.79093987,0.027134579,5.5512195,44.041176,-192.80707,337.2595,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
6,373553.5885343836,0.20070223130871145,0.9906385193801184,1.5288784493575687,1.002035400277036,4.9630066515565385,2.1752377,3.2641473,0.7876312,0.020582762,7.255306,44.125168,-249.7848,410.08743,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
7,590349.1273908599,-2.3224502640091105,0.9755627682450447,4.571540959969699,4.427669342072116,1.030029517151406,3.1954284,3.3331947,0.6601475,0.017676966,10.807599,41.940746,-279.7166,39.769997,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
8,561273.3686323196,0.5346359664380023,0.9257154795451126,3.857506039211525,4.879828316331175,5.23048373028047,2.531832,3.3252404,0.81910276,0.014909304,8.794834,43.025932,-377.43448,62.844448,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
9,384058.87361661624,3.7851191339840486,1.1197746542113274,9.819597450034015,4.218675377849758,4.4339898987100295,2.4257948,3.2649853,0.78241456,0.014972317,8.069828,42.901432,-313.4492,184.56313,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
10,424102.43716751196,-0.32003517172051454,1.0484670154489715,5.096445353347071,1.9128122758608563,4.616606023371426,2.0729744,3.3841872,0.78682065,0.018260559,8.317407,43.256565,-353.66553,306.70993,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
11,515461.0138872644,-0.7068562392147726,0.9583333293765921,8.67392882967318,2.9803829643407767,2.220257135643184,2.8274472,3.274521,0.6207398,0.019200692,12.190056,44.807774,-293.88452,548.9038,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
12,618978.8569711472,1.6868078015979453,1.2542374730966013,2.098491269986761,1.0477378760708733,5.147887387873956,2.7416348,3.2788367,0.70991623,0.017729087,8.166273,41.47898,-390.43167,187.23914,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
13,547146.5610009272,2.9077337041636033,1.141491116719112,8.438177989925352,1.237374076225241,3.3514529573992258,2.8848045,3.331396,0.7956128,0.023948027,7.224319,40.670567,-294.6872,255.99818,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
14,438118.55581513635,-3.8911081328613895,0.9421630485894854,3.504662536875647,3.0598804065614034,1.9554190591897094,2.8882937,3.2992394,0.62681717,0.020614969,10.783257,42.49731,-423.8359,261.1708,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
15,544164.3421250319,3.4255086276118814,1.1751496721433707,7.4227629163089315,1.5854098815123103,1.477241974351169,2.7080944,3.3265598,0.8642059,0.013639693,10.035972,44.005623,-398.27914,163.30466,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
16,577876.5855328077,-0.060473895460054994,1.171490237027174,5.9696751471898635,2.766018131347731,5.55792961381409,2.2921531,3.306192,0.6406523,0.015689516,8.678193,41.874844,-574.31964,309.17465,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
17,359097.2901148799,-2.6224594910395185,1.0970457012308013,5.332070877365038,2.5467782392171685,4.3949239096604265,1.9201448,3.3020737,0.7347018,0.01712463,9.070015,42.517,-333.4235,279.9326,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
18,696930.5240322925,-1.508825622296512,1.246249439148773,6.862761333738613,4.593356358755896,2.176396071382749,2.7769475,3.2713401,0.70090383,0.019214818,5.6246257,44.315365,-358.504,177.11832,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
19,664602.9720223129,-2.7641160890052663,1.2994270453348244,7.7443423189027785,3.7315445319056506,4.005362401883354,3.0241628,3.3829772,0.7074949,0.02192674,10.023294,41.648636,-316.6429,407.91998,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
